Gene	UHR_1	UHR_2	brain_1	brain_2
ANKRD16	88	96	70	80
ANKRD17	825	914	609	595
ANKRD18A	12	21	8	6
ANKRD19	251	272	140	144
ANKRD2	2	3	19	25
ANKRD20A4	1	2	1	1
ANKRD20B	1	2	1	1
ANKRD22	1	1	1	3
ANKRD23	78	75	61	64
ANKRD24	33	37	379	468
ANKRD26	52	59	40	35
ANKRD26P1	1	2	2	2
ANKRD27	279	281	153	210
ANKRD28	406	458	224	255
ANKRD29	25	24	37	55
ANKRD30A	3	2	1	1
ANKRD30B	8	13	2	3
ANKRD30BL	25	26	9	15
ANKRD30BP2	2	1	1	1
ANKRD31	3	2	3	1
ANKRD32	124	130	33	36
ANKRD33	1	2	1	2
ANKRD33B	109	123	229	247
ANKRD34A	53	55	399	438
ANKRD34B	5	6	2	5
ANKRD34C	1	1	37	63
ANKRD35	6	4	99	88
ANKRD36	19	13	13	11
ANKRD36B	7	12	5	6
ANKRD36BP1	18	17	6	8
ANKRD37	44	37	28	23
ANKRD39	121	124	129	150
ANKRD40	381	415	719	856
ANKRD42	36	41	41	43
ANKRD43	9	8	436	510
ANKRD44	23	31	25	29
ANKRD45	1	2	6	13
ANKRD46	65	64	176	197
ANKRD49	52	66	16	28
ANKRD5	43	49	17	10
ANKRD50	213	254	87	88
ANKRD52	1348	1346	745	810
ANKRD53	3	6	11	15
ANKRD54	258	261	181	227
ANKRD55	2	4	5	4
ANKRD56	5	3	67	56
ANKRD57	181	218	14	34
ANKRD58	14	10	7	4
ANKRD6	43	32	126	172
ANKRD7	1	1	2	2
ANKRD9	557	514	367	440
ANKS1A	423	445	331	385
ANKS1B	3	4	447	482
ANKS3	145	147	146	169
ANKS4B	35	33	9	6
ANKS6	407	440	314	336
ANKZF1	631	623	233	274
ANLN	647	754	321	310
ANO1	19	23	26	28
ANO10	211	213	123	127
ANO2	14	13	16	11
ANO3	2	2	63	81
ANO4	13	20	65	72
ANO5	21	24	72	75
ANO6	492	486	91	96
ANO7	36	38	19	16
ANO8	385	357	527	591
ANO9	139	153	2	2
ANP32A	958	1020	405	477
ANP32B	1400	1487	219	216
ANP32C	12	16	7	8
ANP32D	4	4	2	1
ANP32E	518	493	237	251
ANPEP	552	570	18	30
ANTXR1	377	399	187	209
ANTXR2	247	241	12	17
ANUBL1	8	22	58	39
ANXA1	414	402	30	30
ANXA10	3	2	1	1
ANXA11	1090	1039	478	540
ANXA13	2	1	1	2
ANXA2	1529	1614	59	45
ANXA2P1	35	43	2	3
ANXA2P2	752	803	16	17
ANXA2P3	123	141	7	4
ANXA3	49	50	18	14
ANXA4	273	281	41	49
ANXA5	1554	1612	228	232
ANXA6	833	881	1169	1326
ANXA7	427	447	367	342
ANXA9	37	59	32	33
AOAH	1	2	16	13
AOC2	28	33	32	28
AOC3	61	67	20	33
AOX1	68	87	11	8
AOX2P	1	3	2	1
AP1AR	110	115	87	79
AP1B1	1068	1218	1113	1263
AP1G1	556	589	346	355
AP1G2	689	662	478	575
AP1M1	765	782	571	648
AP1M2	127	136	3	1
AP1S1	530	591	423	459
AP1S2	141	141	99	99
AP1S3	16	12	12	15
AP2A1	1325	1335	1565	1777
AP2A2	655	713	1748	1863
AP2B1	1623	1720	1601	1815
AP2M1	2910	3208	3212	3545
AP2S1	906	984	528	575
AP3B1	294	335	52	79
AP3B2	21	23	764	859
AP3D1	2009	2065	1512	1593
AP3M1	315	354	94	108
AP3M2	165	186	271	366
AP3S1	120	116	81	94
AP3S2	331	379	389	462
AP4B1	178	196	135	120
AP4E1	106	115	42	41
AP4M1	101	89	55	52
AP4S1	16	9	42	36
APAF1	105	124	66	87
APBA1	7	17	1197	1243
APBA2	233	250	1863	2141
APBA3	216	170	107	111
APBB1	174	181	3050	3365
APBB1IP	127	109	33	41
APBB2	155	138	373	412
APBB3	158	143	263	286
APC	212	208	677	713
APC2	89	95	4329	4709
APCDD1	50	47	262	320
APCDD1L	130	147	4	7
APEH	847	855	307	302
APEX1	1145	1196	296	351
APEX2	368	383	54	46
APH1A	1007	1052	293	343
APH1B	67	45	127	145
API5	330	336	191	237
APIP	49	40	19	17
APITD1	95	89	40	31
APLF	8	10	1	2
APLN	39	62	124	148
APLNR	23	23	529	616
APLP1	139	148	5669	6578
APLP2	2979	3149	3151	3519
APOA1	2759	2658	7	14
APOA1BP	472	522	216	270
APOA2	1584	1690	4	7
APOA4	20	14	1	1
APOA5	65	75	1	1
APOB	8118	8779	10	17
APOB48R	30	37	23	27
APOBEC2	2	1	1	1
APOBEC3B	83	71	1	1
APOBEC3C	141	160	4	10
APOBEC3D	31	29	3	2
APOBEC3F	51	41	8	5
APOBEC3G	53	71	7	5
APOBEC3H	5	1	2	1
APOC1	121	153	17	14
APOC1P1	1	4	1	1
APOC2	147	141	23	36
APOC3	136	172	2	1
APOC4	2	1	3	1
APOD	30	35	1383	1433
APOE	3481	3371	5321	6155
APOF	12	14	1	1
APOH	559	591	2	3
APOL1	308	336	52	50
APOL2	328	332	467	522
APOL3	50	50	33	50
APOL4	9	16	18	15
APOL6	137	154	53	54
APOLD1	104	109	198	200
