Feature.ID	UHR_1	UHR_2	brain_1	brain_2
ABI3BP	15.14	17.04	14.95	11.73
ABL1	1246.21	1383.72	686.6	685.92
ABL2	283.38	297.03	336.45	304.85
ABLIM1	396.9	399.29	3350.77	3429.61
ABLIM2	6.73	8.93	721.49	724.61
ABLIM3	168.18	165.56	514.64	561.64
ABO	31.11	27.59	4.98	5.86
ABP1	5.05	3.25	1.25	1.17
ABR	675.24	685.78	3280.99	3709.84
ABRA	1.68	0.81	4.98	2.35
ABT1	236.29	219.94	100.93	136.01
ABTB1	125.29	104.69	933.33	1052.92
ABTB2	185	177.73	191.9	225.12
ACAA1	344.77	353.84	482.24	488.94
ACAA2	241.34	221.56	103.43	92.63
ACACA	811.47	748.27	782.55	690.61
ACACB	86.61	103.07	251.71	229.81
ACAD10	203.5	224.8	110.9	109.04
ACAD11	159.77	167.99	129.59	154.77
ACAD8	151.36	155.82	230.53	235.68
ACAD9	304.4	287.3	255.45	240.37
ACADL	2.52	1.62	2.49	9.38
ACADM	111	137.97	128.35	118.42
ACADS	181.63	167.18	118.38	120.77
ACADSB	107.63	112	118.38	116.08
ACADVL	1611.16	1591.49	999.37	1040.02
ACAN	6.73	6.49	29.91	37.52
ACAP1	73.16	60.87	28.66	22.28
ACAP2	165.66	150.95	140.81	117.25
ACAP3	737.47	712.56	2620.55	2862.11
ACAT1	263.2	276.74	143.3	157.12
ACAT2	339.72	346.54	161.99	154.77
ACBD3	260.68	277.56	171.96	175.88
ACBD4	137.07	100.63	173.21	205.19
ACBD5	125.29	108.75	224.3	263.82
ACBD6	322.06	331.12	153.27	173.53
ACBD7	25.23	31.65	179.44	188.78
ACCN1	1.68	2.43	245.48	252.09
ACCN2	127.82	122.55	514.64	553.43
ACCN3	63.07	75.48	215.58	225.12
ACCN4	53.82	64.93	95.95	104.35
ACCN5	0.84	0.81	2.49	3.52
ACCS	60.54	51.13	11.21	16.42
ACCSL	0.84	0.81	2.49	1.17
ACD	277.5	268.63	198.13	242.71
ACE	68.95	68.98	56.07	100.84
ACE2	3.36	4.06	1.25	1.17
ACER2	9.25	10.55	12.46	18.76
ACER3	68.95	65.74	98.44	111.39
ACHE	33.64	25.16	512.15	537.01
ACIN1	1601.91	1643.43	976.94	991.95
ACLY	1893.7	1905.56	809.97	850.07
ACMSD	1.68	1.62	2.49	5.86
ACN9	71.48	73.04	28.66	29.31
ACO1	357.38	364.39	176.95	214.57
ACO2	484.36	489.38	1259.81	1405.85
ACOT1	10.09	16.23	21.18	18.76
ACOT11	20.18	15.42	32.4	30.49
ACOT12	0.84	2.43	1.25	1.17
ACOT13	117.73	141.21	117.13	92.63
ACOT2	69.79	77.1	37.38	45.73
ACOT4	8.41	8.12	28.66	21.11
ACOT6	0.84	0.81	4.98	2.35
ACOT7	613.01	587.58	1251.09	1313.22
ACOT8	118.57	123.36	199.38	193.47
ACOT9	113.52	125.79	33.64	57.45
ACOX1	255.63	271.06	331.46	334.17
ACOX2	26.07	36.52	16.2	18.76
ACOX3	72.32	74.66	69.78	96.15
ACOXL	3.36	5.68	3.74	1.17
ACP1	466.7	493.43	235.51	239.19
ACP2	246.38	228.05	294.08	322.44
ACP5	98.38	107.13	8.72	4.69
ACP6	105.11	120.11	34.89	25.8
ACPL2	114.36	122.55	90.97	80.9
ACPP	3.36	4.87	1.25	1.17
ACPT	2.52	4.87	2.49	3.52
ACR	0.84	1.62	3.74	3.52
ACRBP	8.41	8.12	12.46	15.24
ACRC	10.09	10.55	14.95	29.31
ACRV1	5.05	3.25	3.74	9.38
ACSBG1	18.5	11.36	353.89	378.72
ACSBG2	2.52	3.25	3.74	5.86
ACSF2	213.59	212.63	83.49	121.94
ACSF3	272.45	273.5	160.75	181.74
ACSL1	137.91	152.57	314.02	289.61
ACSL3	538.17	568.1	423.67	408.04
ACSL4	406.15	412.28	188.16	214.57
ACSL5	84.09	88.46	71.03	53.94
ACSL6	3.36	5.68	396.26	376.38
ACSM1	7.57	12.17	2.49	1.17
ACSM2A	3.36	4.06	1.25	1.17
ACSM2B	3.36	4.87	1.25	1.17
ACSM3	204.34	214.25	3.74	2.35
ACSM4	0.84	2.43	1.25	1.17
ACSM5	4.2	1.62	11.21	15.24
ACSS1	285.9	237.79	539.56	526.46
