Features	GSM36777	GSM36778	GSM36779	GSM36780	GSM36781	GSM36782	GSM36783	GSM36784	GSM36785
80110_at	4.45671	4.46767	4.50728	4.07722	4.42497	4.65926	4.64893	4.43263	4.52195
80111_at	5.31977	5.49992	5.49367	5.82042	5.47483	5.4344	5.48039	5.5093	5.40598
80114_at	4.76323	4.49855	4.53244	4.45862	4.19401	4.44886	4.50533	5.09801	4.71727
80117_at	3.57499	3.61511	3.44468	3.5971	3.56126	3.5091	3.53536	3.44468	3.53178
80124_at	4.95882	5.26543	5.06901	5.27464	5.29456	5.16918	4.93243	5.21157	4.87553
80125_at	4.86391	5.5175	5.30318	5.13902	5.08527	4.98593	4.98896	5.12711	4.95061
80127_at	7.75684	7.69604	7.45793	7.05105	6.70855	8.08987	8.23111	6.70282	9.11316
80128_at	4.98362	4.68992	4.78766	4.71897	4.79806	4.66475	4.68955	4.65926	4.8401
80129_at	5.8739	5.88936	6.01634	5.62038	5.61805	5.80962	7.48926	6.06573	7.39043
80131_at	6.62879	5.79525	6.17565	6.83601	5.82201	6.24835	6.72184	6.0495	6.18204
80133_at	3.57754	3.72246	3.84881	3.6813	3.70073	3.67384	3.73234	3.70476	3.8255
80135_at	8.35944	7.532	9.79288	8.06672	7.43363	8.53198	8.75938	8.66143	8.76378
8013_at	4.70739	4.98061	4.84649	4.72269	4.82135	4.72441	4.68411	4.84649	4.71897
80142_at	7.92244	8.23694	8.20288	8.36212	8.68479	7.76468	7.70621	8.36103	7.90913
80143_at	4.12751	4.17479	4.1628	4.13748	4.07722	4.13455	4.11914	4.15839	4.26887
80144_at	5.79012	6.47092	5.78108	5.61143	5.73176	5.67892	5.52384	5.89946	5.82479
80145_at	8.36365	7.5567	8.15262	6.58923	7.42499	8.13782	8.28986	7.68739	8.02873
80146_at	6.90176	6.3952	7.70388	6.30007	6.57778	6.71272	6.89771	6.65516	6.84919
80148_at	7.99953	8.82716	8.14257	8.0502	7.85431	8.39991	8.04173	8.43698	8.21447
80149_at	6.27701	6.82953	6.24813	7.78172	6.88835	6.576	6.23753	6.96016	6.74344
80150_at	5.89769	6.2187	6.02203	8.8202	5.91832	7.07052	5.76483	6.02135	8.2046
80152_at	6.88318	7.01595	6.42511	7.14722	7.20413	6.13605	6.1048	6.74092	6.26579
80153_at	4.8839	4.67981	5.61053	5.08651	5.47713	4.95425	4.97494	5.21307	5.09371
80155_at	5.7233	5.26886	5.97114	6.00326	6.68962	4.93945	5.41956	5.25355	6.56237
80157_at	3.58529	3.67553	3.7061	3.71805	3.70428	3.74619	3.75951	3.60204	3.65108
80161_at	4.91674	4.96002	5.08561	4.7976	4.7467	4.76142	4.83765	4.85053	4.96332
80162_at	6.35915	8.07651	5.60174	9.39302	6.35661	7.72098	8.28066	8.98719	6.77988
80164_at	7.00858	6.70826	6.83721	7.01595	7.52951	6.98974	7.1155	6.8533	7.11578
80167_at	5.04533	4.87511	5.0375	5.09865	5.87244	4.87616	4.96103	5.38543	5.19682
80168_at	6.24835	6.73032	6.20564	6.29238	6.69821	6.36804	6.37965	6.7333	6.58506
80169_at	6.88533	7.18542	7.40229	7.10624	6.79354	6.68284	6.54584	6.79525	6.96986
80173_at	4.02347	3.67456	4.5251	3.48992	3.72053	3.96263	4.46454	3.74035	3.75606
80176_at	5.52822	5.70316	5.59358	5.42095	5.83386	5.42513	5.44432	5.45111	5.84914
80177_at	4.072	4.06448	4.04885	4.18476	4.14822	4.07005	4.13895	4.07121	4.12378
80178_at	6.38228	7.01957	6.42828	6.90134	6.73946	6.36765	6.34386	6.57143	6.93479
80179_at	6.35781	7.22693	6.43592	6.62397	6.47461	6.26795	6.29756	6.32079	6.43592
80183_at	4.98483	4.94427	5.00018	5.0345	4.72391	4.91404	4.60722	4.82078	5.68756
80184_at	4.77911	4.10551	4.86687	4.1605	3.97903	4.12232	3.98562	4.00138	4.59219
80185_at	7.06269	6.82537	6.73698	7.09714	6.55047	6.69355	6.41253	6.3693	6.60426
80194_at	7.28605	7.97564	7.62972	7.71124	7.60933	7.1463	7.85231	7.3872	7.14791
80195_at	5.10756	4.6238	5.09801	4.49202	5.72288	5.47188	5.81878	4.7219	4.7128
80196_at	8.3718	8.20419	7.90409	8.22968	8.13782	8.2218	8.33641	8.51091	8.09508
80198_at	7.60592	8.38029	8.00486	8.08321	8.36941	8.15777	8.16893	7.99525	7.78573
80199_at	5.8771	5.62455	6.65648	6.49858	6.42511	6.66783	6.72687	6.7678	5.67194
8019_at	8.42841	9.03881	7.72449	8.94084	9.09084	8.19488	8.3319	8.27963	8.23931
801_at	8.73264	8.42212	8.42489	8.51758	8.54181	8.59442	7.95909	7.98761	8.3782
80201_at	4.14769	4.31098	4.13455	4.27782	4.34893	3.99311	4.16221	4.15443	4.15075
80204_at	6.66904	5.77862	6.32473	5.95502	6.15652	6.53707	6.80351	6.17464	6.33393
80205_at	6.98193	6.25405	6.99373	6.53228	6.57346	7.01139	6.8143	7.04138	6.85444
80206_at	6.06491	5.79863	5.28104	5.37856	5.39284	6.22707	5.60778	6.10335	5.72456
80207_at	4.09406	4.34032	4.25237	4.39447	4.10039	3.9716	3.95529	3.98298	4.35089
